Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Ant's Corner],Price [Ant's Corner],In stock [Ant's Corner],Low stock [Ant's Corner]
IFSS1,1017,INJOY FRUIT SYRUP STRAWBERRY 1L,Injoy,,N,,,,,,,117.5,4806524344035,,,Y,Y,150,65,10
injoy-fruit-syrup-wintermelon-1l,10451,INJOY FRUIT SYRUP WINTERMELON 1L,Injoy,,N,,,,,,,153,4806524344080,,,Y,Y,155,0,3
IFP50,1019,INJOY FUNFRAPPE POWDER 500G,Injoy,,N,,,,,,,216,527341680348,,,Y,Y,249,1,1
injoy-ice-cramble--chocolate,10491,INJOY ICE SCRAMBLE- CHOCOLATE,Injoy,,N,,,,,,,228,4806524340150,,,Y,Y,250,1,1
injoy-ice-cramble--classic,10299,INJOY ICE SCRAMBLE- CLASSIC,Injoy,,N,,,,,,,177,4806524340112,,,Y,Y,219,4,1
injoy-ice-scramble--ube,10537,INJOY ICE SCRAMBLE- UBE,Injoy,,N,,,,,,,177.51,4806524340136,,,Y,Y,219,1,1
IKP20,1020,INJOY KREEM PUFF 250G,Injoy,,N,,,,,,,114,527341680349,,,Y,Y,132,2,1
injoy-lemon-iced-tea-palamig-200g,10680,INJOY LEMON ICED TEA PALAMIG 200G,Injoy,,N,,,,,,,70,137341680842,,,Y,Y,85,0,3
njoy-milkshake-avocado-1kg,10161,INJOY MILKSHAKE AVOCADO 1KG,Injoy,,N,,,,,,,159,527341680353,,,Y,Y,183,1,2
injoy-milkshake-buko-pandan,10410,INJOY MILKSHAKE BUCO 1KG,Injoy,,N,,,,,,,156,137341680843,,,Y,Y,187,3,2
injoy-milkshake-buco-pandan-1kg,10485,INJOY MILKSHAKE BUCO PANDAN 1KG,Injoy,,N,,,,,,,156,4806524343175,,,Y,Y,187,0,3
injoy-milkshake-caramel-machiatto-1kg,10559,INJOY MILKSHAKE CARAMEL MACHIATTO 1KG,Injoy,,N,,,,,,,189,137341680844,,,Y,Y,230,0,1
IMCK1,1027,INJOY MILKSHAKE CHOCO KISSES 1KG,Injoy,,N,,,,,,,186,4806524343229,,,Y,Y,227,2,5
IMCM1,1028,INJOY MILKSHAKE CHOCO MOUSSE 1KG,Injoy,,N,,,,,,,186,4806524343380,,,Y,Y,227,2,3
IMCNC,1029,INJOY MILKSHAKE COOKIES AND CREAM 1KG,Injoy,,N,,,,,,,189,4806524343236,,,Y,Y,227,4,5
